episode,timestep,reward
1,200,153.0
3,400,130.0
5,600,147.5
7,800,148.0
9,1000,168.0
11,1200,165.0
13,1400,145.0
15,1600,138.0
17,1800,126.0
19,2000,172.0
21,2200,164.5
23,2400,175.5
25,2600,188.5
27,2800,163.0
29,3000,153.0
31,3200,132.0
33,3400,136.5
35,3600,131.0
37,3800,145.5
39,4000,112.0
41,4200,86.5
43,4400,187.5
45,4600,112.0
47,4800,183.0
49,5000,181.0
51,5200,178.0
53,5400,188.5
55,5600,166.5
57,5800,104.0
59,6000,165.5
61,6200,136.0
63,6400,179.5
65,6600,146.0
67,6800,131.0
69,7000,206.0
71,7200,140.5
73,7400,113.5
75,7600,155.0
77,7800,185.5
79,8000,76.0
81,8200,183.0
83,8400,162.0
85,8600,244.0
87,8800,158.0
89,9000,166.5
91,9200,154.5
93,9400,203.5
95,9600,164.0
97,9800,249.0
99,10000,113.5
101,10200,173.0
103,10400,89.5
105,10600,98.5
107,10800,129.5
109,11000,78.5
111,11200,159.0
113,11400,216.0
115,11600,209.0
117,11800,129.5
119,12000,76.0
121,12200,200.5
123,12400,181.5
125,12600,73.0
127,12800,160.0
129,13000,132.0
131,13200,113.0
133,13400,197.0
135,13600,101.5
137,13800,158.0
139,14000,126.5
141,14200,129.5
143,14400,178.0
145,14600,183.5
147,14800,245.5
149,15000,134.0
151,15200,151.0
153,15400,102.0
155,15600,132.0
157,15800,159.5
159,16000,160.0
161,16200,139.0
163,16400,152.0
165,16600,227.5
167,16800,123.5
169,17000,127.0
171,17200,90.5
173,17400,186.0
175,17600,195.0
177,17800,146.0
179,18000,172.5
181,18200,192.0
183,18400,183.5
185,18600,80.0
187,18800,151.0
189,19000,165.5
191,19200,116.0
193,19400,184.0
195,19600,161.0
197,19800,155.0
199,20000,249.5
201,20200,118.5
203,20400,263.5
205,20600,168.5
207,20800,176.5
209,21000,224.0
211,21200,145.5
213,21400,94.0
215,21600,122.0
217,21800,78.0
219,22000,138.5
221,22200,147.5
223,22400,213.5
225,22600,83.5
227,22800,169.5
229,23000,26.5
231,23200,214.0
233,23400,131.5
235,23600,180.5
237,23800,160.0
239,24000,86.5
241,24200,270.5
243,24400,133.0
245,24600,111.0
247,24800,167.0
249,25000,220.5
251,25200,117.5
253,25400,191.5
255,25600,150.5
257,25800,88.0
259,26000,175.5
261,26200,123.0
263,26400,200.0
265,26600,162.0
267,26800,154.0
269,27000,226.0
271,27200,155.0
273,27400,202.0
275,27600,269.5
277,27800,125.0
279,28000,201.5
281,28200,193.5
283,28400,132.5
285,28600,185.5
287,28800,168.0
289,29000,233.5
291,29200,143.0
293,29400,233.5
295,29600,127.0
297,29800,287.5
299,30000,180.0
301,30200,85.0
303,30400,154.0
305,30600,131.0
307,30800,243.5
309,31000,162.5
311,31200,190.0
313,31400,148.0
315,31600,180.5
317,31800,284.5
319,32000,175.0
321,32200,198.5
323,32400,195.0
325,32600,235.0
327,32800,204.0
329,33000,268.0
331,33200,215.5
333,33400,168.0
335,33600,330.5
337,33800,240.0
339,34000,191.5
341,34200,324.5
343,34400,271.5
345,34600,153.5
347,34800,203.0
349,35000,162.0
351,35200,169.5
353,35400,203.0
355,35600,108.5
357,35800,162.0
359,36000,253.5
361,36200,253.0
363,36400,194.5
365,36600,253.0
367,36800,216.0
369,37000,132.5
371,37200,272.5
373,37400,155.5
375,37600,223.0
377,37800,145.0
379,38000,151.5
381,38200,232.0
383,38400,246.5
385,38600,204.0
387,38800,197.5
389,39000,229.5
391,39200,240.0
393,39400,178.5
395,39600,165.5
397,39800,68.0
399,40000,225.0
401,40200,240.0
403,40400,123.0
405,40600,106.0
407,40800,289.5
409,41000,265.5
411,41200,164.5
413,41400,223.5
415,41600,153.5
417,41800,178.5
419,42000,145.5
421,42200,242.0
423,42400,150.0
425,42600,232.5
427,42800,186.0
429,43000,204.0
431,43200,273.0
433,43400,188.5
435,43600,288.0
437,43800,122.0
439,44000,180.5
441,44200,244.5
443,44400,131.0
445,44600,149.0
447,44800,181.0
449,45000,253.5
451,45200,208.5
453,45400,217.5
455,45600,203.0
457,45800,200.0
459,46000,212.0
461,46200,220.0
463,46400,228.5
465,46600,91.0
467,46800,213.5
469,47000,265.5
471,47200,285.5
473,47400,173.0
475,47600,268.0
477,47800,159.0
479,48000,159.0
481,48200,223.0
483,48400,138.0
485,48600,201.0
487,48800,206.5
489,49000,101.0
491,49200,203.0
493,49400,195.5
495,49600,147.5
497,49800,162.0
499,50000,180.0
501,50200,252.0
503,50400,194.0
505,50600,159.0
507,50800,231.5
509,51000,104.0
511,51200,108.5
513,51400,131.0
515,51600,156.0
517,51800,201.5
519,52000,265.0
521,52200,154.0
523,52400,180.5
525,52600,189.5
527,52800,187.0
529,53000,179.5
531,53200,220.0
533,53400,274.0
535,53600,242.0
537,53800,184.0
539,54000,257.5
541,54200,183.0
543,54400,220.5
545,54600,160.5
547,54800,274.5
549,55000,256.0
551,55200,116.0
553,55400,180.5
555,55600,248.0
557,55800,174.5
559,56000,140.5
561,56200,195.5
563,56400,151.0
565,56600,263.0
567,56800,97.5
569,57000,139.5
571,57200,138.0
573,57400,159.5
575,57600,214.5
577,57800,234.0
579,58000,198.0
581,58200,156.0
583,58400,245.0
585,58600,120.5
587,58800,207.0
589,59000,196.0
591,59200,159.0
593,59400,241.5
595,59600,237.0
597,59800,203.0
599,60000,191.5
601,60200,234.0
603,60400,218.5
605,60600,270.5
607,60800,259.5
609,61000,157.5
611,61200,125.0
613,61400,231.0
615,61600,276.5
617,61800,170.0
619,62000,178.5
621,62200,203.0
623,62400,296.5
625,62600,232.5
627,62800,247.5
629,63000,248.0
631,63200,330.0
633,63400,155.0
635,63600,238.5
637,63800,223.0
639,64000,186.5
641,64200,232.0
643,64400,153.0
645,64600,134.5
647,64800,252.5
649,65000,183.0
651,65200,285.0
653,65400,265.0
655,65600,289.5
657,65800,225.0
659,66000,287.5
661,66200,217.0
663,66400,210.5
665,66600,223.5
667,66800,180.0
669,67000,214.5
671,67200,214.0
673,67400,266.5
675,67600,258.5
677,67800,238.5
679,68000,232.0
681,68200,225.0
683,68400,231.5
685,68600,229.0
687,68800,269.0
689,69000,213.5
691,69200,143.0
693,69400,200.0
695,69600,173.5
697,69800,234.0
699,70000,309.0
701,70200,233.0
703,70400,137.0
705,70600,190.0
707,70800,263.5
709,71000,139.5
711,71200,155.5
713,71400,175.5
715,71600,294.0
717,71800,202.0
719,72000,260.0
721,72200,213.0
723,72400,228.0
725,72600,182.5
727,72800,259.0
729,73000,277.0
731,73200,265.0
733,73400,180.0
735,73600,128.0
737,73800,190.0
739,74000,258.5
741,74200,219.5
743,74400,182.5
745,74600,254.5
747,74800,188.5
749,75000,245.0
751,75200,184.0
753,75400,206.0
755,75600,175.5
757,75800,332.5
759,76000,146.5
761,76200,208.5
763,76400,228.5
765,76600,269.5
767,76800,247.5
769,77000,283.0
771,77200,155.0
773,77400,306.0
775,77600,164.5
777,77800,180.0
779,78000,214.0
781,78200,200.5
783,78400,179.5
785,78600,195.0
787,78800,238.0
789,79000,240.5
791,79200,238.5
793,79400,224.5
795,79600,299.5
797,79800,290.5
799,80000,192.5
801,80200,167.0
803,80400,220.5
805,80600,185.0
807,80800,133.0
809,81000,233.0
811,81200,283.5
813,81400,226.5
815,81600,292.0
817,81800,203.0
819,82000,302.5
821,82200,142.5
823,82400,161.0
825,82600,195.0
827,82800,335.5
829,83000,226.5
831,83200,228.0
833,83400,273.5
835,83600,199.5
837,83800,258.5
839,84000,149.0
841,84200,132.0
843,84400,297.5
845,84600,237.0
847,84800,185.5
849,85000,167.0
851,85200,164.0
853,85400,281.0
855,85600,219.0
857,85800,329.5
859,86000,227.0
861,86200,223.0
863,86400,319.0
865,86600,259.0
867,86800,220.5
869,87000,192.0
871,87200,315.5
873,87400,163.5
875,87600,255.5
877,87800,343.0
879,88000,255.0
881,88200,166.5
883,88400,105.0
885,88600,182.5
887,88800,206.5
889,89000,204.5
891,89200,228.5
893,89400,163.0
895,89600,302.5
897,89800,253.5
899,90000,212.0
901,90200,202.0
903,90400,169.0
905,90600,197.5
907,90800,235.0
909,91000,178.5
911,91200,140.0
913,91400,242.0
915,91600,230.5
917,91800,187.5
919,92000,286.5
921,92200,161.5
923,92400,302.5
925,92600,183.0
927,92800,202.0
929,93000,187.0
931,93200,99.5
933,93400,294.0
935,93600,206.0
937,93800,270.5
939,94000,174.5
941,94200,230.0
943,94400,223.0
945,94600,240.0
947,94800,254.5
949,95000,228.0
951,95200,222.5
953,95400,131.5
955,95600,197.5
957,95800,199.5
959,96000,177.0
961,96200,189.5
963,96400,204.0
965,96600,174.5
967,96800,186.5
969,97000,226.0
971,97200,249.0
973,97400,177.0
975,97600,210.0
977,97800,222.0
979,98000,176.5
981,98200,220.0
983,98400,168.5
985,98600,177.5
987,98800,188.0
989,99000,229.0
991,99200,313.5
993,99400,148.0
995,99600,249.0
997,99800,82.5
999,100000,130.0
1001,100200,223.0
1003,100400,286.0
1005,100600,205.0
1007,100800,206.0
1009,101000,149.5
1011,101200,186.0
1013,101400,175.0
1015,101600,223.5
1017,101800,131.5
1019,102000,194.0
1021,102200,218.0
1023,102400,200.5
1025,102600,230.5
1027,102800,223.5
1029,103000,131.0
1031,103200,266.0
1033,103400,225.5
1035,103600,174.0
1037,103800,265.0
1039,104000,271.5
1041,104200,259.5
1043,104400,247.0
1045,104600,111.0
1047,104800,196.0
1049,105000,212.5
1051,105200,223.0
1053,105400,241.5
1055,105600,128.5
1057,105800,231.5
1059,106000,322.0
1061,106200,177.5
1063,106400,177.5
1065,106600,198.5
1067,106800,90.5
1069,107000,194.5
1071,107200,225.0
1073,107400,155.5
1075,107600,193.5
1077,107800,193.0
1079,108000,164.0
